paper number,DOI,year,deposited_material (accurate),deposited_material,deposited_material(elements),RE,WE,WE(element),Electrolyte,El_conc,A_concentration,scan_rate,pH,Pot_Onset_V(E_used),Pot_Ox_V(E_used),current_density,onset_pot,ox_pot,ox_onset
71,https://doi.org/10.3390/nano13071173,2023,Pt/C,Pt_C,Pt_C,RHE,GCE,Pt_C,NaOH,"0,1","0,5",10,"13,67","0,4","0,8388","21,8205","-0,40653","0,03227","0,4388"
71,https://doi.org/10.3390/nano13071173,2023,Pt75Fe25/C-hydrazine,Pt_Fe_C,Pt_Fe_C_N_H,RHE,GCE,C,NaOH,"0,1","0,5",10,"13,67","0,35","0,87","13,16544","-0,45653","0,06347","0,52"
72,https://doi.org/10.1016/j.fuel.2022.126471,2022,NP doped/PdCNTs,Pd_N_P_CNT,Pd_N_P_C,Ag/AgCl,GCE,C,KOH,"0,5","0,5",50,"13,56","-0,3","0,11388","76,67","-0,101","0,31288","0,41388"
72,https://doi.org/10.1016/j.fuel.2022.126471,2022,Pd/ CNTs,Pd_CNT,Pd_C,Ag/AgCl,GCE,C,KOH,"0,5","0,5",50,"13,56","-0,35","0,069","48,67","-0,151","0,268","0,419"
72,https://doi.org/10.1016/j.fuel.2022.126471,2022,P doped/ PdCNTs ,Pd_P_CNT,Pd_C_P,Ag/AgCl,GCE,C,KOH,"0,5","0,5",50,"13,56","-0,35","0,1","69,33","-0,151","0,299","0,45"
72,https://doi.org/10.1016/j.fuel.2022.126471,2022,N doped/PdCNTs ,Pd_N_CNT,Pd_C_N,Ag/AgCl,GCE,C,KOH,"0,5","0,5",50,"13,56","-0,35","0,1",60,"-0,151","0,299","0,45"
73,https://doi.org/10.1002/celc.202300570,2024,Ni(OH)2/GCE,Ni_O_OH,Ni_O_O_H,RHE,GCE,C,NaOH,1,"0,1",50,"12,71","1,36",,3,"0,61011",,"-0,61011"
74,https://doi.org/10.1021/acsaem.3c03111,2024,Ag(0.5)/Pt,Ag,Ag,Hg/HgO,Pt,Pt,NaOH,1,"0,5",20,"13,45","-0,5","-0,01","11,45","-0,64","-0,15","0,49"
75,https://doi.org/10.1021/acssuschemeng.8b00721,2024,Pd68Ni26/rGO,Pd_Ni_rGO,Pd_Ni_O_C,SCE,GCE,C,NaOH,1,"0,5",50,"13,45","-0,4","-0,2857",44,"-0,156","-0,0417","0,1143"
75,https://doi.org/10.1021/acssuschemeng.8b00721,2024,Pt73Pd27/rGO,Pt_Pd_rGO,Pt_Pd_O_C,SCE,GCE,C,NaOH,1,"0,5",50,"13,45","-0,51","-0,2893",62,"-0,266","-0,0453","0,2207"
75,https://doi.org/10.1021/acssuschemeng.8b00721,2024,Pt74Ni27/rGO,Pt_Ni_rGO,Pt_Ni_O_C,SCE,GCE,C,NaOH,1,"0,5",50,"13,45","-0,4714","-0,2143","43,6","-0,2274","0,0297","0,2571"
75,https://doi.org/10.1021/acssuschemeng.8b00721,2024,Pt70Pd24Ni6/rGO,Pt_Pd_Ni_rGO,Pt_Pd_Ni_O_C,SCE,GCE,C,NaOH,1,"0,5",50,"13,45","-0,5107","-0,1429","105,2","-0,2667","0,1011","0,3678"
76,https://doi.org/10.5935/0103-5053.20140044,2014,PdAu(90:10)/C,Pd_Au_C,Pd_Au_C,Ag/AgCl,CC,C,KOH,1,1,10,"13,79","-0,6",,,"-0,401",,"0,401"
76,https://doi.org/10.5935/0103-5053.20140044,2014,Au/C,Au_C,Au_C,Ag/AgCl,CC,C,KOH,1,1,10,"13,79","-0,63",,,"-0,431",,"0,431"
76,https://doi.org/10.5935/0103-5053.20140044,2014,Pd/C,Pd_C,Pd_C,Ag/AgCl,CC,C,KOH,1,1,10,"13,79","-0,65",,,"-0,451",,"0,451"
77,https://doi.org/10.1016/j.materresbull.2015.01.007,2015,Au/C,Au_C,Au_C,SCE,GE,C,KOH,1,1,5,"13,79","-0,255",,,"-0,011",,"0,011"
77,https://doi.org/10.1016/j.materresbull.2015.01.007,2015,Au�MgO (wt 2:1)/C,Au_Mg_O_C,Au_Mg_O_C,SCE,GE,C,KOH,1,1,5,"13,79","-0,411",,,"-0,167",,"0,167"
77,https://doi.org/10.1016/j.materresbull.2015.01.007,2015,Au�Co3O4 (wt 4:1)/C,Au_Co_O_C,Au_Co_O_C,SCE,GE,C,KOH,1,1,5,"13,79","-0,426",,,"-0,182",,"0,182"
77,https://doi.org/10.1016/j.materresbull.2015.01.007,2015,Au�NiO (wt 5:1)/C,Au_Ni_O_C,Au_Ni_O_C,SCE,GE,C,KOH,1,1,5,"13,79","-0,446",,,"-0,202",,"0,202"
77,https://doi.org/10.1016/j.materresbull.2015.01.007,2015,Au�Mn3O4 (wt 5:1)/C,Au_Mn_O_C,Au_Mn_O_C,SCE,GE,C,KOH,1,1,5,"13,79","-0,47",,,"-0,226",,"0,226"
78,https://doi.org/10.1007/s10008-015-2880-1,2015,Pd/TiO2/PANI,Pd_Ti_O_Org,Pd_Ti_O_C_N_O_H,MSE,GE,C,KOH,"0,5","0,1",20,"12,83","-0,771","-0,614","5,38","-0,131","0,026","0,157"
79,https://doi.org/10.1039/c5ee01988e,2015,Pd55Pt30,Pd_Pt,Pd_Pt,Ag/AgCl,GCE,C,KOH,1,"0,1",50,"12,71","-0,335","-0,13","4,63","-0,136","0,069","0,205"
80,https://doi.org/10.1007/s10800-014-0706-y,2014,PPy/MOH/Pd ,Pd_Mn_O_OH_Org,Pd_Mn_O_O_H_C_N_O_H,SCE,GCE,C,KOH,1,2,50,"14,15","-0,359","-0,18",404,"-0,115","0,064","0,179"
81,https://doi.org/10.1149/2.0511707jes,2017,Pt/C,Pt_C,Pt_C,SCE,GCE,C,NaOH,"0,5","0,1",50,"12,83","-0,35","-0,128","27,3","-0,106","0,116","0,222"
81,https://doi.org/10.1149/2.0511707jes,2017,Pd1Ag1C,Pd_Ag_C,Pd_Ag_C,SCE,GCE,C,NaOH,"0,5","0,1",50,"12,83","-0,448","-0,104","35,5","-0,204","0,14","0,344"
82,https://doi.org/10.1016/j.joei.2016.07.005,2016,Pt/C,Pt_C,Pt_C,SCE,GE,C,KOH,1,1,10,"13,79","-0,571","-0,331","17,4","-0,327","-0,087","0,24"
82,https://doi.org/10.1016/j.joei.2016.07.005,2016,Pd/C,Pd_C,Pd_C,SCE,GE,C,KOH,1,1,10,"13,79","-0,405","-0,156","20,3","-0,161","0,088","0,249"
82,https://doi.org/10.1016/j.joei.2016.07.005,2016,PdAu(wt 4:1)/C,Pd_Au,Pd_Au,SCE,GE,C,KOH,1,1,10,"13,79","-0,544","-0,223","74,4","-0,3","0,021","0,321"
82,https://doi.org/10.1016/j.joei.2016.07.005,2016,Au/C,Au_C,Au_C,SCE,GE,C,KOH,1,1,10,"13,79","-0,401","-0,028","25,4","-0,157","0,216","0,373"
82,https://doi.org/10.1016/j.joei.2016.07.005,2016,PtAu(wt 4:1)/C,Pt_Au_C,Pt_Au_C,SCE,GE,C,KOH,1,1,10,"13,79","-0,704","-0,155","96,3","-0,46","0,089","0,549"
83,https://doi.org/10.1021/acscatal.6b02097,2016,Pt2Rh1/C,Pt_Rh_C,Pt_Rh_C,SCE,GCE,C,HClO4,"0,1","0,1",50,"0,85","0,3","0,395","2,021","0,544","0,639","0,095"
83,https://doi.org/10.1021/acscatal.6b02097,2016,Pt/C,Pt_C,Pt_C,SCE,GCE,C,HClO4,"0,1","0,1",50,"0,85","0,3","0,436","1,799","0,544","0,68","0,136"
83,https://doi.org/10.1021/acscatal.6b02097,2016,Pt3Ru1/C,Pt_Ru_C,Pt_Ru_C,SCE,GCE,C,HClO4,"0,1","0,1",50,"0,85","0,1","0,336","1,577","0,344","0,58","0,236"
84,https://doi.org/10.1039/c5gc01243k,2015,Pt/Ag@C,Pt_Ag_C,Pt_Ag_C,SCE,GCE,C,NaOH,1,1,50,"13,79","-0,589","-0,137","930,6748","-0,345","0,107","0,452"
